BATTING,RUNS,FOURS,SIXES,STRICK RATE,BATTING_TEAM
Logan van Beek,0,0,0,0,Netherlands
Roelof van der Merwe,0,0,0,0,Netherlands
Aryan Dutt,1,0,0,12.5,Netherlands
Paul van Meekeren,0,0,0,0,Netherlands
Jonny Bairstow,30,3,0,96.77,England
Dawid Malan,28,6,0,112,England
Joe Root,3,0,0,30,England
Ben Stokes,43,6,0,58.9,England
Jos Buttler(c) wk ,8,1,0,133.33,England
Liam Livingstone,1,0,0,16.66,England
Moeen Ali,15,1,0,100,England
Chris Woakes,0,0,0,0,England
David Willey,14,1,1,82.35,England
Adil Rashid,2,0,0,28.57,England
Mark Wood,5,1,0,83.33,England
Pathum Nissanka,77,7,2,92.77,Sri-Lanka
Kusal Perera,4,1,0,80,Sri-Lanka
Kusal Mendis(c) wk ,11,2,0,91.66,Sri-Lanka
Sadeera Samarawickrama,65,7,1,120.37,Sri-Lanka
Abdullah Shafique,9,1,0,52.94,Pakistan
Imam-ul-Haq,12,2,0,66.66,Pakistan
Babar Azam(c),50,4,1,76.92,Pakistan
Mohammad Rizwan wk ,31,4,1,114.81,Pakistan
Iftikhar Ahmed,21,1,1,67.74,Pakistan
Saud Shakeel,52,7,0,100,Pakistan
Shadab Khan,43,3,2,119.44,Pakistan
Mohammad Nawaz,24,1,2,100,Pakistan
Shaheen Shah Afridi,2,0,0,50,Pakistan
Mohammad Wasim,7,0,1,77.77,Pakistan
Haris Rauf,0,0,0,0,Pakistan
Temba Bavuma(c),28,4,1,103.7,South-Africa
Quinton de Kock wk ,24,5,0,171.42,South-Africa
Rassie van der Dussen,21,0,0,53.84,South-Africa
Aiden Markram,91,7,3,97.84,South-Africa
Heinrich Klaasen,12,0,1,120,South-Africa
David Miller,29,2,2,87.87,South-Africa
Marco Jansen,20,2,1,142.85,South-Africa
Gerald Coetzee,10,0,0,76.92,South-Africa
Keshav Maharaj,7,1,0,33.33,South-Africa
Lungi Ngidi,4,0,0,28.57,South-Africa
Tabraiz Shamsi,4,0,0,66.66,South-Africa
David Warner,81,5,6,124.61,Australia
Travis Head,109,10,7,162.68,Australia
Mitchell Marsh,36,2,0,70.58,Australia
Steven Smith,18,2,0,105.88,Australia
Marnus Labuschagne,18,2,0,69.23,Australia
Glenn Maxwell,41,5,2,170.83,Australia
Josh Inglis wk ,38,4,1,135.71,Australia
Pat Cummins(c),37,2,4,264.28,Australia
Mitchell Starc,1,0,0,33.33,Australia
Adam Zampa,0,0,0,0,Australia
Devon Conway,28,6,0,164.7,New-Zealand
Will Young,32,4,1,86.48,New-Zealand
Rachin Ravindra,116,9,5,130.33,New-Zealand
Daryl Mitchell,54,6,1,105.88,New-Zealand
Tom Latham(c) wk ,21,2,0,95.45,New-Zealand
Glenn Phillips,12,1,0,75,New-Zealand
James Neesham,58,3,3,148.71,New-Zealand
Mitchell Santner,17,1,1,141.66,New-Zealand
Matt Henry,9,1,0,112.5,New-Zealand
Trent Boult,10,0,1,125,New-Zealand
Lockie Ferguson,0,0,0,0,New-Zealand
Vikramjit Singh,3,0,0,33.33,Netherlands
Max O'Dowd,0,0,0,0,Netherlands
Wesley Barresi,41,8,0,100,Netherlands
Colin Ackermann,15,1,0,45.45,Netherlands
Scott Edwards(c) wk ,68,6,0,76.4,Netherlands
Bas de Leede,17,2,0,53.12,Netherlands
Sybrand Engelbrecht,35,3,0,57.37,Netherlands
Logan van Beek,23,2,1,143.75,Netherlands
Shariz Ahmad,6,0,0,75,Netherlands
Aryan Dutt,9,0,1,150,Netherlands
Paul van Meekeren,0,0,0,0,Netherlands
Litton Das,3,0,0,25,Bangladesh
Tanzid Hasan,15,3,0,93.75,Bangladesh
Mehidy Hasan Miraz,35,5,1,87.5,Bangladesh
Najmul Hossain Shanto,9,2,0,50,Bangladesh
Shakib Al Hasan(c),5,0,0,35.71,Bangladesh
Mushfiqur Rahim wk ,1,0,0,20,Bangladesh
Mahmudullah,20,2,0,48.78,Bangladesh
Mahedi Hasan,17,1,0,44.73,Bangladesh
Taskin Ahmed,11,1,0,31.42,Bangladesh
Mustafizur Rahman,20,2,1,57.14,Bangladesh
Rohit Sharma(c),87,10,3,86.13,India
Shubman Gill,9,1,0,69.23,India
Virat Kohli,0,0,0,0,India
Shreyas Iyer,4,0,0,25,India
KL Rahul wk ,39,3,0,67.24,India
Suryakumar Yadav,49,4,1,104.25,India
Ravindra Jadeja,8,0,0,61.53,India
Mohammed Shami,1,0,0,20,India
Jasprit Bumrah,16,1,0,64,India
Kuldeep Yadav,9,1,0,69.23,India
Jonny Bairstow,14,2,0,60.86,England
Dawid Malan,16,2,1,94.11,England
Joe Root,0,0,0,0,England
Ben Stokes,0,0,0,0,England
Jos Buttler(c) wk ,10,1,0,43.47,England
Moeen Ali,15,0,0,48.38,England
Liam Livingstone,27,2,0,58.69,England
Chris Woakes,10,1,0,50,England
David Willey,16,0,2,94.11,England
Adil Rashid,13,2,0,65,England
Mark Wood,0,0,0,0,England
Pathum Nissanka,46,5,0,76.66,Sri-Lanka
Dimuth Karunaratne,15,1,0,71.42,Sri-Lanka
Kusal Mendis(c) wk ,39,3,0,78,Sri-Lanka
Sadeera Samarawickrama,36,3,0,90,Sri-Lanka
Charith Asalanka,22,2,0,78.57,Sri-Lanka
Dhananjaya de Silva,14,1,0,53.84,Sri-Lanka
Angelo Mathews,23,1,1,88.46,Sri-Lanka
Dushmantha Chameera,1,0,0,25,Sri-Lanka
Maheesh Theekshana,29,3,1,93.54,Sri-Lanka
Kasun Rajitha,5,0,0,71.42,Sri-Lanka
Dilshan Madushanka,0,0,0,0,Sri-Lanka
Rahmanullah Gurbaz,0,0,0,0,Afghanistan
Ibrahim Zadran,39,4,1,68.42,Afghanistan
Rahmat Shah,62,7,0,83.78,Afghanistan
Hashmatullah Shahidi(c),58,2,1,78.37,Afghanistan
Azmatullah Omarzai,73,6,3,115.87,Afghanistan
Tanzid Hasan,0,0,0,0,Bangladesh
Litton Das,45,6,0,70.31,Bangladesh
Najmul Hossain Shanto,4,1,0,133.33,Bangladesh
Mushfiqur Rahim wk ,5,1,0,62.5,Bangladesh
Mahmudullah,56,6,1,80,Bangladesh
Shakib Al Hasan(c),43,4,0,67.18,Bangladesh
Towhid Hridoy,7,0,1,233.33,Bangladesh
Mehidy Hasan Miraz,25,1,1,83.33,Bangladesh
Taskin Ahmed,6,0,0,46.15,Bangladesh
Mustafizur Rahman,3,0,0,42.85,Bangladesh
Shoriful Islam,1,0,0,25,Bangladesh
Abdullah Shafique,68,9,2,98.55,Pakistan
Fakhar Zaman,81,3,7,109.45,Pakistan
Babar Azam(c),9,1,0,56.25,Pakistan
Mohammad Rizwan wk ,26,4,0,123.8,Pakistan
Iftikhar Ahmed,17,2,0,113.33,Pakistan
Quinton de Kock wk ,114,10,3,98.27,South-Africa
Temba Bavuma(c),24,4,1,85.71,South-Africa
Rassie van der Dussen,133,9,5,112.71,South-Africa
David Miller,53,2,4,176.66,South-Africa
Heinrich Klaasen,15,1,1,214.28,South-Africa
Aiden Markram,6,0,1,600,South-Africa
Devon Conway,2,0,0,33.33,New-Zealand
Will Young,33,5,0,89.18,New-Zealand
Rachin Ravindra,9,1,0,56.25,New-Zealand
Daryl Mitchell,24,4,0,80,New-Zealand
Tom Latham(c) wk ,4,0,0,26.66,New-Zealand
Glenn Phillips,60,4,4,120,New-Zealand
Mitchell Santner,7,1,0,38.88,New-Zealand
Tim Southee,7,1,0,63.63,New-Zealand
James Neesham,0,0,0,0,New-Zealand
Trent Boult,9,1,0,64.28,New-Zealand
Matt Henry,0,0,0,0,New-Zealand
Rohit Sharma(c),4,1,0,200,India
Shubman Gill,92,11,2,100,India
Virat Kohli,88,11,0,93.61,India
Shreyas Iyer,82,3,6,146.42,India
KL Rahul wk ,21,2,0,110.52,India
Suryakumar Yadav,12,2,0,133.33,India
Ravindra Jadeja,35,1,1,145.83,India
Mohammed Shami,2,0,0,50,India
Jasprit Bumrah,1,0,0,100,India
Pathum Nissanka,0,0,0,0,Sri-Lanka
Dimuth Karunaratne,0,0,0,0,Sri-Lanka
Kusal Mendis(c) wk ,1,0,0,10,Sri-Lanka
Sadeera Samarawickrama,0,0,0,0,Sri-Lanka
Charith Asalanka,1,0,0,4.16,Sri-Lanka
Angelo Mathews,12,1,0,48,Sri-Lanka
Dushan Hemantha,0,0,0,0,Sri-Lanka
Dushmantha Chameera,0,0,0,0,Sri-Lanka
Maheesh Theekshana,12,2,0,52.17,Sri-Lanka
Kasun Rajitha,14,2,0,82.35,Sri-Lanka
Dilshan Madushanka,5,1,0,83.33,Sri-Lanka
Wesley Barresi,1,0,0,25,Netherlands
Max O'Dowd,42,9,0,105,Netherlands
Colin Ackermann,29,4,0,82.85,Netherlands
Sybrand Engelbrecht,58,6,0,67.44,Netherlands
Scott Edwards(c) wk ,0,0,0,0,Netherlands
Bas de Leede,3,0,0,50,Netherlands
Saqib Zulfiqar,3,0,0,20,Netherlands
Logan van Beek,2,0,0,15.38,Netherlands
Roelof van der Merwe,11,0,0,33.33,Netherlands
Aryan Dutt,10,0,0,45.45,Netherlands
Paul van Meekeren,4,0,0,16.66,Netherlands
Rahmanullah Gurbaz,10,2,0,90.9,Afghanistan
Ibrahim Zadran,20,2,0,58.82,Afghanistan
Rahmat Shah,52,8,0,96.29,Afghanistan
Hashmatullah Shahidi(c),56,6,0,87.5,Afghanistan
Azmatullah Omarzai,31,3,0,110.71,Afghanistan
Devon Conway,35,6,0,89.74,New-Zealand
Rachin Ravindra,108,15,1,114.89,New-Zealand
Kane Williamson(c),95,10,2,120.25,New-Zealand
Daryl Mitchell,29,4,1,161.11,New-Zealand
Mark Chapman,39,7,0,144.44,New-Zealand
Glenn Phillips,41,4,2,164,New-Zealand
Mitchell Santner,26,0,2,152.94,New-Zealand
Tom Latham wk ,2,0,0,100,New-Zealand
Abdullah Shafique,4,1,0,44.44,Pakistan
Fakhar Zaman,126,8,11,155.55,Pakistan
Babar Azam(c),66,6,2,104.76,Pakistan
Travis Head,11,1,0,110,Australia
David Warner,15,1,1,93.75,Australia
Steven Smith,44,3,0,84.61,Australia
Marnus Labuschagne,71,7,0,85.54,Australia
Josh Inglis wk ,3,0,0,50,Australia
Cameron Green,47,5,0,90.38,Australia
Marcus Stoinis,35,3,2,109.37,Australia
Pat Cummins(c),10,1,0,76.92,Australia
Mitchell Starc,10,0,0,76.92,Australia
Adam Zampa,29,4,0,152.63,Australia
Josh Hazlewood,1,0,0,100,Australia
Jonny Bairstow,0,0,0,0,England
Dawid Malan,50,4,1,78.12,England
Joe Root,13,2,0,76.47,England
Ben Stokes,64,2,3,71.11,England
Jos Buttler(c) wk ,1,0,0,14.28,England
Moeen Ali,42,6,0,97.67,England
Liam Livingstone,2,0,0,40,England
Chris Woakes,32,4,1,96.96,England
David Willey,15,3,0,107.14,England
Adil Rashid,20,1,1,133.33,England
Rohit Sharma(c),40,6,2,166.66,India
Shubman Gill,23,4,1,95.83,India
Virat Kohli,101,10,0,83.47,India
Shreyas Iyer,77,7,2,88.5,India
KL Rahul wk ,8,0,0,47.05,India
Suryakumar Yadav,22,5,0,157.14,India
Ravindra Jadeja,29,3,1,193.33,India
Quinton de Kock wk ,5,1,0,50,South-Africa
Temba Bavuma(c),11,1,0,57.89,South-Africa
Rassie van der Dussen,13,1,0,40.62,South-Africa
Aiden Markram,9,2,0,150,South-Africa
Heinrich Klaasen,1,0,0,9.09,South-Africa
David Miller,11,2,0,100,South-Africa
Marco Jansen,14,1,0,46.66,South-Africa
Keshav Maharaj,7,1,0,63.63,South-Africa
Kagiso Rabada,6,0,0,23.07,South-Africa
Lungi Ngidi,0,0,0,0,South-Africa
Tabraiz Shamsi,4,1,0,100,South-Africa
Pathum Nissanka,41,8,0,113.88,Sri-Lanka
Kusal Perera,4,1,0,80,Sri-Lanka
Kusal Mendis(c) wk ,19,1,1,63.33,Sri-Lanka
Sadeera Samarawickrama,41,4,0,97.61,Sri-Lanka
Charith Asalanka,108,6,5,102.85,Sri-Lanka
Dhananjaya de Silva,34,4,1,94.44,Sri-Lanka
Maheesh Theekshana,21,3,0,67.74,Sri-Lanka
Dushmantha Chameera,4,0,0,44.44,Sri-Lanka
Kasun Rajitha,0,0,0,0,Sri-Lanka
Dilshan Madushanka,0,0,0,0,Sri-Lanka
Tanzid Hasan,9,2,0,180,Bangladesh
Litton Das,23,2,2,104.54,Bangladesh
Najmul Hossain Shanto,90,12,0,89.1,Bangladesh
Shakib Al Hasan(c),82,12,2,126.15,Bangladesh
Mahmudullah,22,3,1,95.65,Bangladesh
Mushfiqur Rahim wk ,10,1,0,76.92,Bangladesh
Towhid Hridoy,15,0,2,214.28,Bangladesh
Mehidy Hasan Miraz,3,0,0,60,Bangladesh
Tanzim Hasan Sakib,5,1,0,83.33,Bangladesh
Rahmanullah Gurbaz,21,2,0,84,Afghanistan
Ibrahim Zadran,129,8,3,90.2,Afghanistan
Rahmat Shah,30,1,0,68.18,Afghanistan
Hashmatullah Shahidi(c),26,2,0,60.46,Afghanistan
Azmatullah Omarzai,22,1,2,122.22,Afghanistan
Mohammad Nabi,12,0,1,120,Afghanistan
Rashid Khan,35,2,3,194.44,Afghanistan
David Warner,18,3,0,62.06,Australia
Travis Head,0,0,0,0,Australia
Mitchell Marsh,24,2,2,218.18,Australia
Marnus Labuschagne,14,2,0,50,Australia
Josh Inglis wk ,0,0,0,0,Australia
Glenn Maxwell,201,21,10,157.03,Australia
Marcus Stoinis,6,1,0,85.71,Australia
Mitchell Starc,3,0,0,42.85,Australia
Pat Cummins(c),12,1,0,17.64,Australia
Jonny Bairstow,15,2,0,88.23,England
Dawid Malan,87,10,2,117.56,England
Joe Root,28,1,0,80,England
Ben Stokes,108,6,6,128.57,England
Harry Brook,11,2,0,68.75,England
Jos Buttler(c) wk ,5,0,0,45.45,England
Moeen Ali,4,0,0,26.66,England
Chris Woakes,51,5,1,113.33,England
David Willey,6,0,1,300,England
Gus Atkinson,2,0,0,200,England
Adil Rashid,1,0,0,100,England
Wesley Barresi,37,3,1,59.67,Netherlands
Max O'Dowd,5,1,0,45.45,Netherlands
Colin Ackermann,0,0,0,0,Netherlands
Sybrand Engelbrecht,33,3,1,67.34,Netherlands
Scott Edwards(c) wk ,38,3,1,90.47,Netherlands
Bas de Leede,10,2,0,83.33,Netherlands
Teja Nidamanuru,41,2,3,120.58,Netherlands
Logan van Beek,2,0,0,100,Netherlands
Roelof van der Merwe,0,0,0,0,Netherlands
Aryan Dutt,1,0,0,33.33,Netherlands
Paul van Meekeren,4,1,0,133.33,Netherlands
Pathum Nissanka,2,0,0,25,Sri-Lanka
Kusal Perera,51,9,2,182.14,Sri-Lanka
Kusal Mendis(c) wk ,6,1,0,85.71,Sri-Lanka
Sadeera Samarawickrama,1,0,0,50,Sri-Lanka
Charith Asalanka,8,1,0,100,Sri-Lanka
Angelo Mathews,16,2,0,59.25,Sri-Lanka
Dhananjaya de Silva,19,2,1,79.16,Sri-Lanka
Chamika Karunaratne,6,1,0,35.29,Sri-Lanka
Maheesh Theekshana,38,3,0,41.75,Sri-Lanka
Dushmantha Chameera,1,0,0,5,Sri-Lanka
Dilshan Madushanka,19,2,0,39.58,Sri-Lanka
Devon Conway,45,9,0,107.14,New-Zealand
Rachin Ravindra,42,3,3,123.52,New-Zealand
Kane Williamson(c),14,2,0,93.33,New-Zealand
Daryl Mitchell,43,5,2,138.7,New-Zealand
Mark Chapman,7,1,0,116.66,New-Zealand
Glenn Phillips,17,3,0,170,New-Zealand
Tom Latham wk ,2,0,0,100,New-Zealand
Rahmanullah Gurbaz,25,3,1,113.63,Afghanistan
Ibrahim Zadran,15,3,0,50,Afghanistan
Rahmat Shah,26,2,0,56.52,Afghanistan
Hashmatullah Shahidi(c),2,0,0,28.57,Afghanistan
Azmatullah Omarzai,97,7,3,90.65,Afghanistan
Ikram Alikhil wk ,12,1,1,85.71,Afghanistan
Mohammad Nabi,2,0,0,66.66,Afghanistan
Rashid Khan,14,0,0,46.66,Afghanistan
Noor Ahmad,26,4,0,81.25,Afghanistan
Mujeeb Ur Rahman,8,0,1,160,Afghanistan
Naveen-ul-Haq,2,0,0,50,Afghanistan
Quinton de Kock wk ,41,2,3,87.23,South-Africa
Temba Bavuma(c),23,3,0,82.14,South-Africa
Rassie van der Dussen,76,6,1,80,South-Africa
Aiden Markram,25,1,1,78.12,South-Africa
Heinrich Klaasen,10,1,0,76.92,South-Africa
David Miller,24,1,1,72.72,South-Africa
Andile Phehlukwayo,39,1,3,105.4,South-Africa
Tanzid Hasan,36,6,0,105.88,Bangladesh
Litton Das,36,5,0,80,Bangladesh
Najmul Hossain Shanto(c),45,6,0,78.94,Bangladesh
Towhid Hridoy,74,5,2,93.67,Bangladesh
Mahmudullah,32,1,3,114.28,Bangladesh
Mushfiqur Rahim wk ,21,0,1,87.5,Bangladesh
Mehidy Hasan Miraz,29,4,0,145,Bangladesh
Nasum Ahmed,7,0,0,63.63,Bangladesh
Mahedi Hasan,2,0,0,66.66,Bangladesh
Taskin Ahmed,0,0,0,0,Bangladesh
Travis Head,10,2,0,90.9,Australia
David Warner,53,6,0,86.88,Australia
Mitchell Marsh,177,17,9,134.09,Australia
Steven Smith,63,4,1,98.43,Australia
Dawid Malan,31,5,0,79.48,England
Jonny Bairstow,59,7,1,96.72,England
Joe Root,60,4,0,83.33,England
Ben Stokes,84,11,2,110.52,England
Jos Buttler(c) wk ,27,3,1,150,England
Harry Brook,30,2,2,176.47,England
Moeen Ali,8,0,1,133.33,England
Chris Woakes,4,1,0,100,England
David Willey,15,2,1,300,England
Gus Atkinson,0,0,0,0,England
Adil Rashid,0,0,0,0,England
Abdullah Shafique,0,0,0,0,Pakistan
Fakhar Zaman,1,0,0,11.11,Pakistan
Babar Azam(c),38,6,0,84.44,Pakistan
Mohammad Rizwan wk ,36,2,0,70.58,Pakistan
Saud Shakeel,29,4,0,78.37,Pakistan
Agha Salman,51,6,1,113.33,Pakistan
Iftikhar Ahmed,3,0,0,60,Pakistan
Shadab Khan,4,1,0,57.14,Pakistan
Shaheen Shah Afridi,25,3,1,108.69,Pakistan
Mohammad Wasim,16,2,1,114.28,Pakistan
Haris Rauf,35,3,3,152.17,Pakistan
Rohit Sharma(c),61,8,2,112.96,India
Shubman Gill,51,3,4,159.37,India
Virat Kohli,51,5,1,91.07,India
Shreyas Iyer,128,10,5,136.17,India
KL Rahul wk ,102,11,4,159.37,India
Suryakumar Yadav,2,0,0,200,India
Wesley Barresi,4,0,0,80,Netherlands
Max O'Dowd,30,3,1,71.42,Netherlands
Colin Ackermann,35,6,0,109.37,Netherlands
Sybrand Engelbrecht,45,4,0,56.25,Netherlands
Scott Edwards(c) wk ,17,1,0,56.66,Netherlands
Bas de Leede,12,1,0,57.14,Netherlands
Teja Nidamanuru,54,1,6,138.46,Netherlands
Logan van Beek,16,2,0,106.66,Netherlands
Roelof van der Merwe,16,1,2,200,Netherlands
Aryan Dutt,5,0,0,45.45,Netherlands
Paul van Meekeren,3,0,0,75,Netherlands
Rohit Sharma(c),47,4,4,162.06,India
Shubman Gill,80,8,3,121.21,India
Virat Kohli,117,9,2,103.53,India
Shreyas Iyer,105,4,8,150,India
KL Rahul wk ,39,5,2,195,India
Suryakumar Yadav,1,0,0,50,India
Devon Conway,13,3,0,86.66,New-Zealand
Rachin Ravindra,13,3,0,59.09,New-Zealand
Kane Williamson(c),69,8,1,94.52,New-Zealand
Daryl Mitchell,134,9,7,112.6,New-Zealand
Tom Latham wk ,0,0,0,0,New-Zealand
Glenn Phillips,41,4,2,124.24,New-Zealand
Mark Chapman,2,0,0,40,New-Zealand
Mitchell Santner,9,0,0,90,New-Zealand
Tim Southee,9,1,0,90,New-Zealand
Trent Boult,2,0,0,100,New-Zealand
Lockie Ferguson,6,0,1,200,New-Zealand
Quinton de Kock wk ,3,0,0,21.42,South-Africa
Temba Bavuma(c),0,0,0,0,South-Africa
Rassie van der Dussen,6,0,0,19.35,South-Africa
Aiden Markram,10,2,0,50,South-Africa
Heinrich Klaasen,47,4,2,97.91,South-Africa
David Miller,101,8,5,87.06,South-Africa
Marco Jansen,0,0,0,0,South-Africa
Gerald Coetzee,19,2,0,48.71,South-Africa
Keshav Maharaj,4,0,0,50,South-Africa
Kagiso Rabada,10,0,1,83.33,South-Africa
Tabraiz Shamsi,1,0,0,20,South-Africa
Travis Head,62,9,2,129.16,Australia
David Warner,29,1,4,161.11,Australia
Mitchell Marsh,0,0,0,0,Australia
Steven Smith,30,2,0,48.38,Australia
Marnus Labuschagne,18,2,0,58.06,Australia
Glenn Maxwell,1,0,0,20,Australia
Josh Inglis wk ,28,3,0,57.14,Australia
Mitchell Starc,16,2,0,42.1,Australia
Pat Cummins(c),14,2,0,48.27,Australia
Rohit Sharma (c),47,4,3,151.61,India
Shubman Gill,4,0,0,57.14,India
Virat Kohli,54,4,0,85.71,India
Shreyas Iyer,4,1,0,133.33,India
KL Rahul  wk ,66,1,0,61.68,India
Ravindra Jadeja,9,0,0,40.9,India
Suryakumar Yadav,18,1,0,64.28,India
Mohammed Shami,6,1,0,60,India
Jasprit Bumrah,1,0,0,33.33,India
Kuldeep Yadav,10,0,0,55.55,India
Mohammed Siraj,9,1,0,112.5,India
David Warner,7,1,0,233.33,Australia
Travis Head,137,15,4,114.16,Australia
Mitchell Marsh,15,1,1,100,Australia
Steven Smith,4,1,0,44.44,Australia
Marnus Labuschagne,58,4,0,52.72,Australia
Glenn Maxwell,2,0,0,200,Australia
