BOWLING,OVERS,MAIDEN,WICKETS,ECONOMY,ZEROES,WIDE BALLS,NO BALLS,BOWLING_TEAM
Trent Boult,10,1,1,4.8,34,1,0,New-Zealand
Matt Henry,10,1,3,4.8,31,0,0,New-Zealand
Mitchell Santner,10,0,2,3.7,26,1,0,New-Zealand
James Neesham,7,0,0,8,15,2,0,New-Zealand
Rachin Ravindra,10,0,1,7.6,14,0,0,New-Zealand
Glenn Phillips,3,0,2,5.66,5,0,0,New-Zealand
Chris Woakes,6,0,0,7.5,18,0,0,England
Sam Curran,6,2,1,7.83,17,2,0,England
Mark Wood,5,0,0,11,9,1,0,England
Moeen Ali,9.2,0,0,6.42,20,0,0,England
Adil Rashid,7,0,0,6.71,15,0,0,England
Liam Livingstone,3,0,0,8,7,0,0,England
Aryan Dutt,10,0,1,4.8,37,2,0,Netherlands
Logan van Beek,6,0,1,5,20,1,0,Netherlands
Colin Ackermann,8,1,2,4.87,26,0,0,Netherlands
Paul van Meekeren,6,0,1,6.66,16,2,0,Netherlands
Bas de Leede,9,0,4,6.88,22,3,0,Netherlands
Roelof van der Merwe,6,0,0,6,14,0,1,Netherlands
Vikramjit Singh,2,0,0,8,5,0,0,Netherlands
Saqib Zulfiqar,2,0,0,7.5,3,0,0,Netherlands
Shaheen Shah Afridi,7,0,1,5.28,26,2,0,Pakistan
Hasan Ali,7,1,2,4.71,31,4,0,Pakistan
Haris Rauf,9,0,3,4.77,33,2,0,Pakistan
Iftikhar Ahmed,3,0,1,5.33,7,0,0,Pakistan
Mohammad Nawaz,7,0,1,4.42,23,0,0,Pakistan
Shadab Khan,8,0,1,5.62,23,1,0,Pakistan
Taskin Ahmed,6,0,1,5.33,23,1,0,Bangladesh
Shoriful Islam,6.2,1,2,5.36,23,2,0,Bangladesh
Mustafizur Rahman,7,1,1,4,26,0,0,Bangladesh
Shakib Al Hasan,8,0,3,3.75,28,0,0,Bangladesh
Mehidy Hasan Miraz,9,3,3,2.77,38,1,0,Bangladesh
Mahmudullah,1,0,0,7,3,0,0,Bangladesh
Fazalhaq Farooqi,5,0,1,3.8,22,2,0,Afghanistan
Mujeeb Ur Rahman,7,0,0,4.28,26,0,0,Afghanistan
Naveen-ul-Haq,5.4,0,1,5.47,14,1,1,Afghanistan
Rashid Khan,9,0,0,5.33,24,0,0,Afghanistan
Mohammad Nabi,6,1,0,3,20,1,0,Afghanistan
Azmatullah Omarzai,2,0,1,4.5,7,0,0,Afghanistan
Kasun Rajitha,10,1,1,9,24,2,0,Sri-Lanka
Dilshan Madushanka,10,0,2,8.6,25,3,1,Sri-Lanka
Dasun Shanaka,6,0,0,6,10,0,0,Sri-Lanka
Dhananjaya de Silva,4,0,0,9.75,9,1,0,Sri-Lanka
Matheesha Pathirana,10,0,1,9.5,22,5,0,Sri-Lanka
Dunith Wellalage,10,0,1,8.1,27,2,0,Sri-Lanka
Lungi Ngidi,8,1,1,6.12,30,2,0,South-Africa
Marco Jansen,10,0,2,9.2,31,3,0,South-Africa
Kagiso Rabada,7.5,0,2,6.38,22,2,1,South-Africa
Keshav Maharaj,10,0,2,6.2,33,2,0,South-Africa
Gerald Coetzee,9,0,3,7.55,26,1,0,South-Africa
Jasprit Bumrah,10,0,2,3.5,41,4,0,India
Mohammed Siraj,6.3,1,1,4,26,2,0,India
Hardik Pandya,3,0,1,9.33,8,0,0,India
Ravichandran Ashwin,10,1,1,3.4,32,0,0,India
Kuldeep Yadav,10,0,2,4.2,31,0,0,India
Ravindra Jadeja,10,2,3,2.8,38,0,0,India
Mitchell Starc,8,0,1,3.87,28,3,0,Australia
Josh Hazlewood,9,1,3,4.22,33,1,0,Australia
Pat Cummins,6.2,0,0,5.21,19,1,1,Australia
Glenn Maxwell,8,0,0,4.12,24,0,0,Australia
Cameron Green,2,0,0,5.5,7,0,0,Australia
Adam Zampa,8,0,0,6.62,13,0,0,Australia
Aryan Dutt,10,2,2,6.2,31,1,0,Netherlands
Ryan Klein,7,1,0,5.85,25,1,0,Netherlands
Paul van Meekeren,9,0,2,6.55,28,0,1,Netherlands
Roelof van der Merwe,9,0,2,6.22,20,0,0,Netherlands
Colin Ackermann,4,0,0,7,9,0,0,Netherlands
Bas de Leede,10,0,1,6.4,28,0,1,Netherlands
Vikramjit Singh,1,0,0,9,1,0,0,Netherlands
Trent Boult,8,0,0,4.25,29,1,0,New-Zealand
Matt Henry,8.3,0,3,4.7,29,0,0,New-Zealand
Mitchell Santner,10,0,5,5.9,30,0,0,New-Zealand
Lockie Ferguson,8,0,0,4,31,0,0,New-Zealand
Rachin Ravindra,10,0,1,4.6,30,0,1,New-Zealand
Glenn Phillips,2,0,0,5.5,2,0,0,New-Zealand
Mustafizur Rahman,10,0,0,7,26,0,0,Bangladesh
Taskin Ahmed,6,0,1,6.33,19,2,0,Bangladesh
Shoriful Islam,10,0,3,7.5,25,1,0,Bangladesh
Mahedi Hasan,8,0,4,8.87,17,0,0,Bangladesh
Shakib Al Hasan,10,0,1,5.2,25,1,0,Bangladesh
Mehidy Hasan Miraz,6,0,0,9.16,10,0,0,Bangladesh
Chris Woakes,8,0,2,6.12,24,0,0,England
Reece Topley,10,1,4,4.3,35,0,0,England
Sam Curran,7.2,0,1,6.4,15,2,0,England
Mark Wood,10,0,1,2.9,38,1,0,England
Adil Rashid,10,0,1,4.2,31,0,0,England
Liam Livingstone,3,0,1,4.33,11,0,0,England
Shaheen Shah Afridi,9,0,1,7.33,27,4,0,Pakistan
Hasan Ali,10,0,4,7.1,32,3,1,Pakistan
Mohammad Nawaz,9,0,1,6.88,23,0,0,Pakistan
Haris Rauf,10,0,2,6.4,30,1,0,Pakistan
Shadab Khan,8,0,1,6.87,20,0,0,Pakistan
Iftikhar Ahmed,4,0,0,5.5,11,1,0,Pakistan
Maheesh Theekshana,10,0,1,5.9,23,1,0,Sri-Lanka
Dilshan Madushanka,9.2,0,2,6.42,27,2,1,Sri-Lanka
Dasun Shanaka,5,0,0,5.6,10,0,0,Sri-Lanka
Matheesha Pathirana,9,0,1,10,14,9,0,Sri-Lanka
Dunith Wellalage,10,0,0,6.2,24,0,0,Sri-Lanka
Dhananjaya de Silva,4,0,0,9,7,0,0,Sri-Lanka
Charith Asalanka,1,0,0,10,1,0,0,Sri-Lanka
Jasprit Bumrah,10,0,4,3.9,41,3,0,India
Mohammed Siraj,9,0,0,8.44,23,1,0,India
Hardik Pandya,7,0,2,6.14,23,2,0,India
Shardul Thakur,6,0,1,5.16,21,1,1,India
Kuldeep Yadav,10,0,1,4,35,0,0,India
Ravindra Jadeja,8,0,0,4.75,22,0,1,India
Fazalhaq Farooqi,6,0,0,8.33,17,1,0,Afghanistan
Mujeeb Ur Rahman,8,0,0,8,18,3,0,Afghanistan
Naveen-ul-Haq,5,0,0,6.2,16,0,0,Afghanistan
Azmatullah Omarzai,4,0,0,8.5,12,1,0,Afghanistan
Mohammad Nabi,4,0,0,8,11,0,0,Afghanistan
Rashid Khan,8,0,2,7.12,12,1,0,Afghanistan
Mitchell Starc,9,1,2,5.88,29,1,0,Australia
Josh Hazlewood,9,0,1,6.66,30,3,0,Australia
Glenn Maxwell,10,1,2,3.4,32,2,0,Australia
Pat Cummins,9,0,1,7.88,19,0,0,Australia
Adam Zampa,10,0,1,7,20,1,0,Australia
Mitchell Marsh,1,0,0,6,1,0,0,Australia
Marcus Stoinis,2,0,0,5.5,5,0,0,Australia
Lungi Ngidi,8,2,1,2.25,35,1,0,South-Africa
Marco Jansen,7,0,2,7.71,24,3,1,South-Africa
Kagiso Rabada,8,1,3,4.12,35,1,1,South-Africa
Keshav Maharaj,10,0,2,3,40,2,0,South-Africa
Tabraiz Shamsi,7.5,0,2,4.85,24,0,0,South-Africa
Trent Boult,10,0,2,4.5,37,2,0,New-Zealand
Matt Henry,10,0,2,5.8,27,0,1,New-Zealand
Lockie Ferguson,10,0,3,4.9,44,2,2,New-Zealand
Mitchell Santner,10,1,1,3.1,36,0,0,New-Zealand
Glenn Phillips,2,0,1,6.5,8,0,1,New-Zealand
Rachin Ravindra,7,0,0,5.28,22,0,0,New-Zealand
Daryl Mitchell,1,0,0,11,1,0,0,New-Zealand
Mustafizur Rahman,8,0,1,4.5,26,3,0,Bangladesh
Shoriful Islam,7.5,1,0,5.48,30,3,0,Bangladesh
Taskin Ahmed,8,0,0,7,20,3,0,Bangladesh
Shakib Al Hasan,10,0,1,5.4,30,0,0,Bangladesh
Mehidy Hasan Miraz,9,0,0,6.44,17,1,0,Bangladesh
Jasprit Bumrah,7,1,2,2.71,33,1,0,India
Mohammed Siraj,8,0,2,6.25,22,0,0,India
Hardik Pandya,6,0,2,5.66,20,0,0,India
Kuldeep Yadav,10,0,2,3.5,38,0,0,India
Ravindra Jadeja,9.5,0,2,3.86,35,0,0,India
Shardul Thakur,2,0,0,6,6,0,0,India
Shaheen Shah Afridi,6,0,2,6,21,1,0,Pakistan
Hasan Ali,6,0,1,5.66,23,0,0,Pakistan
Mohammad Nawaz,8.3,0,0,5.52,23,0,0,Pakistan
Haris Rauf,6,0,0,7.16,14,0,0,Pakistan
Shadab Khan,4,0,0,7.75,10,0,0,Pakistan
Chris Woakes,4,0,0,10.25,13,2,0,England
Reece Topley,8.5,1,1,5.88,30,3,1,England
Sam Curran,4,0,0,11.5,9,0,2,England
Adil Rashid,10,1,3,4.2,29,1,0,England
Mark Wood,9,0,2,5.55,27,0,0,England
Liam Livingstone,10,0,1,3.3,31,0,0,England
Joe Root,4,0,1,4.75,16,0,0,England
Mujeeb Ur Rahman,10,1,3,5.1,31,1,0,Afghanistan
Fazalhaq Farooqi,7,0,1,7.14,23,2,0,Afghanistan
Naveen-ul-Haq,6,1,1,7.33,17,0,1,Afghanistan
Mohammad Nabi,6,0,2,2.66,23,1,0,Afghanistan
Rashid Khan,9.3,1,3,3.89,30,0,0,Afghanistan
Azmatullah Omarzai,2,0,0,6.5,5,0,0,Afghanistan
Mitchell Starc,10,0,2,4.3,37,4,0,Australia
Josh Hazlewood,7,1,0,5.14,28,1,0,Australia
Pat Cummins,7,0,2,4.57,24,1,0,Australia
Glenn Maxwell,9.3,0,1,3.78,30,1,0,Australia
Adam Zampa,8,1,4,5.87,26,2,0,Australia
Marcus Stoinis,2,0,0,5.5,5,0,0,Australia
Lahiru Kumara,4,0,0,11.75,8,0,0,Sri-Lanka
Dilshan Madushanka,9,2,3,4.22,34,1,0,Sri-Lanka
Maheesh Theekshana,7,0,0,7,19,0,0,Sri-Lanka
Dunith Wellalage,9.2,0,1,5.67,29,0,0,Sri-Lanka
Chamika Karunaratne,3,0,0,5,9,2,0,Sri-Lanka
Dhananjaya de Silva,3,0,0,4.33,8,0,0,Sri-Lanka
Lungi Ngidi,9,1,2,6.33,31,6,1,South-Africa
Marco Jansen,8,1,2,3.37,36,6,0,South-Africa
Kagiso Rabada,9,1,2,6.22,30,3,0,South-Africa
Gerald Coetzee,8,0,1,7.12,25,2,0,South-Africa
Keshav Maharaj,9,0,1,4.22,34,0,0,South-Africa
Aryan Dutt,5,1,0,3.8,21,0,0,Netherlands
Logan van Beek,8.5,0,3,6.79,30,1,1,Netherlands
Colin Ackermann,3,0,1,5.33,13,0,0,Netherlands
Paul van Meekeren,9,0,2,4.44,33,0,0,Netherlands
Roelof van der Merwe,9,0,2,3.77,29,0,0,Netherlands
Bas de Leede,8,0,2,4.5,28,4,0,Netherlands
Mujeeb Ur Rahman,10,0,1,5.7,32,1,0,Afghanistan
Fazalhaq Farooqi,7,1,0,5.57,23,2,0,Afghanistan
Naveen-ul-Haq,8,0,2,6,17,0,0,Afghanistan
Mohammad Nabi,8,1,0,5.12,30,0,0,Afghanistan
Rashid Khan,10,0,1,4.3,35,2,0,Afghanistan
Azmatullah Omarzai,7,0,2,8,17,0,1,Afghanistan
Trent Boult,7,1,2,2.57,32,2,0,New-Zealand
Matt Henry,5,2,1,3.2,22,0,0,New-Zealand
Mitchell Santner,7.4,0,3,5.08,24,1,0,New-Zealand
Lockie Ferguson,7,1,3,2.71,32,1,0,New-Zealand
Glenn Phillips,3,0,0,4.33,7,1,0,New-Zealand
Rachin Ravindra,5,0,1,6.8,11,0,0,New-Zealand
Jasprit Bumrah,10,1,2,4.1,39,1,0,India
Mohammed Siraj,10,0,2,6,34,3,0,India
Hardik Pandya,0.3,0,0,16,1,0,0,India
Virat Kohli,0.3,0,0,4,1,0,0,India
Shardul Thakur,9,0,1,6.55,23,0,0,India
Kuldeep Yadav,10,0,1,4.7,25,1,0,India
Ravindra Jadeja,10,0,2,3.8,36,0,0,India
Shoriful Islam,8,0,0,6.75,25,0,0,Bangladesh
Mustafizur Rahman,5,0,0,5.8,17,0,0,Bangladesh
Nasum Ahmed,9.3,0,0,6.31,30,0,0,Bangladesh
Hasan Mahmud,8,0,1,8.12,22,1,2,Bangladesh
Mehidy Hasan Miraz,10,0,2,4.7,24,1,0,Bangladesh
Mahmudullah,1,0,0,6,0,0,0,Bangladesh
Shaheen Shah Afridi,10,1,5,5.4,39,3,0,Pakistan
Hasan Ali,8,0,0,7.12,26,3,0,Pakistan
Iftikhar Ahmed,8,0,0,4.62,30,2,0,Pakistan
Haris Rauf,8,0,3,10.37,18,3,0,Pakistan
Usama Mir,9,0,1,9.11,19,2,0,Pakistan
Mohammad Nawaz,7,0,0,6.14,20,0,0,Pakistan
Mitchell Starc,8,0,1,8.12,22,6,0,Australia
Josh Hazlewood,10,1,1,3.7,40,1,0,Australia
Pat Cummins,7.3,0,2,8.26,22,0,0,Australia
Adam Zampa,10,0,4,5.3,25,1,0,Australia
Glenn Maxwell,5,0,0,8,10,0,0,Australia
Marcus Stoinis,5,0,2,8,10,3,0,Australia
Dilshan Madushanka,9.4,1,4,5.06,33,3,1,Sri-Lanka
Kasun Rajitha,9,0,4,5.55,32,6,0,Sri-Lanka
Chamika Karunaratne,9,1,0,6.44,25,6,0,Sri-Lanka
Maheesh Theekshana,10,0,1,4.4,28,2,0,Sri-Lanka
Dushan Hemantha,8,0,0,5.25,23,0,0,Sri-Lanka
Dhananjaya de Silva,4,0,0,3.25,16,3,0,Sri-Lanka
Aryan Dutt,10,0,3,4.4,38,2,0,Netherlands
Logan van Beek,10,0,0,5.7,36,0,0,Netherlands
Paul van Meekeren,8,1,1,4.87,29,2,0,Netherlands
Bas de Leede,3,0,0,9.66,7,2,0,Netherlands
Roelof van der Merwe,9,0,0,4.66,25,1,0,Netherlands
Colin Ackermann,8.2,0,1,4.68,25,0,0,Netherlands
Reece Topley,8.5,0,3,9.96,23,4,0,England
David Willey,9,1,0,6.77,27,3,1,England
Joe Root,6.1,0,0,7.78,6,0,0,England
Gus Atkinson,9,0,2,6.66,27,1,0,England
Mark Wood,7,0,0,10.85,9,1,0,England
Adil Rashid,10,0,2,6.1,20,0,0,England
Lungi Ngidi,5,1,2,5.2,23,3,0,South-Africa
Marco Jansen,5,0,2,7,19,1,0,South-Africa
Kagiso Rabada,6,1,1,6.33,24,0,1,South-Africa
Gerald Coetzee,4,0,3,8.75,13,1,0,South-Africa
Keshav Maharaj,2,0,1,13.5,4,0,0,South-Africa
Jasprit Bumrah,10,1,1,4.5,34,0,0,India
Mohammed Siraj,10,1,1,4.5,34,4,0,India
Mohammed Shami,10,0,5,5.4,32,0,0,India
Ravindra Jadeja,10,0,0,4.8,28,0,0,India
Kuldeep Yadav,10,0,2,7.3,25,3,0,India
Trent Boult,10,0,1,6,33,1,0,New-Zealand
Matt Henry,9,0,1,6.11,31,0,0,New-Zealand
Mitchell Santner,10,0,1,3.7,32,0,0,New-Zealand
Lockie Ferguson,8,0,2,7.87,22,2,0,New-Zealand
Rachin Ravindra,9,0,0,5.11,28,1,0,New-Zealand
Glenn Phillips,2,0,0,6,3,0,0,New-Zealand
Naveen-ul-Haq,7,0,2,7.42,22,3,0,Afghanistan
Mujeeb Ur Rahman,8,0,0,6.87,20,0,0,Afghanistan
Mohammad Nabi,10,0,1,3.1,37,0,0,Afghanistan
Azmatullah Omarzai,5,0,1,10,9,3,0,Afghanistan
Rashid Khan,10,0,0,4.1,30,0,0,Afghanistan
Noor Ahmad,10,0,3,4.9,27,4,1,Afghanistan
Shaheen Shah Afridi,10,0,1,5.8,27,2,0,Pakistan
Hasan Ali,10,1,1,4.4,42,1,0,Pakistan
Haris Rauf,8,1,0,6.62,19,3,0,Pakistan
Usama Mir,8,0,0,6.87,19,2,1,Pakistan
Shadab Khan,8,0,0,6.12,22,0,0,Pakistan
Iftikhar Ahmed,5,0,0,5.4,15,0,0,Pakistan
Mustafizur Rahman,9,0,0,8.44,15,2,0,Bangladesh
Mehidy Hasan Miraz,9,0,1,4.88,29,2,0,Bangladesh
Shoriful Islam,9,0,1,8.44,19,0,0,Bangladesh
Shakib Al Hasan,9,0,1,7.66,24,1,0,Bangladesh
Hasan Mahmud,6,0,2,11.16,12,1,0,Bangladesh
Nasum Ahmed,5,0,0,5.4,11,0,0,Bangladesh
Mahmudullah,3,0,0,6.66,7,1,0,Bangladesh
Marco Jansen,8,0,2,4.87,34,5,0,South-Africa
Lizaad Williams,8.4,1,2,6.46,33,5,0,South-Africa
Gerald Coetzee,10,0,3,6.2,36,1,1,South-Africa
Kagiso Rabada,10,1,2,4.2,36,0,1,South-Africa
Keshav Maharaj,10,0,1,3.2,36,1,0,South-Africa
Aryan Dutt,7,0,1,8.42,17,0,0,Netherlands
Colin Ackermann,4,0,0,4.75,10,0,0,Netherlands
Logan van Beek,10,0,4,7.4,31,5,0,Netherlands
Paul van Meekeren,10,0,0,6.4,29,3,0,Netherlands
Vikramjit Singh,4,0,0,6.75,13,1,0,Netherlands
Roelof van der Merwe,5,0,0,8.2,11,1,0,Netherlands
Bas de Leede,10,0,2,11.5,20,1,1,Netherlands
Mitchell Starc,4,0,1,5.5,19,2,0,Australia
